timestamp,actual_rate,current_sample_rate,delta
1761571241,0.112500,0.093625,-0.006375
1761571244,0.105000,0.091200,-0.002425
1761571247,0.106250,0.088063,-0.003137
1761571250,0.097727,0.089284,0.001222
1761571253,0.092857,0.092904,0.003620
1761571256,0.094118,0.095833,0.002929
1761571259,0.091250,0.100236,0.004404
1761571262,0.095192,0.102601,0.002364
1761571265,0.092188,0.106537,0.003936
1761571268,0.096053,0.108472,0.001935
1761571271,0.096023,0.110461,0.001989
1761571274,0.102000,0.109401,-0.001060
1761571277,0.099107,0.109877,0.000475
1761571280,0.104651,0.106808,-0.003069
1761571283,0.105449,0.102039,-0.004769
1761571286,0.103825,0.096828,-0.005212
1761571289,0.103571,0.090664,-0.006164
1761571292,0.101477,0.084542,-0.006122
1761571295,0.099242,0.079460,-0.005082
1761571298,0.097079,0.074711,-0.004748
1761571301,0.095152,0.070220,-0.004492
1761571304,0.094400,0.065088,-0.005132
1761571307,0.091429,0.060620,-0.004468
1761571310,0.089677,0.056393,-0.004226
1761571313,0.086961,0.052880,-0.003513
1761571316,0.084054,0.050149,-0.002731
1761571319,0.081917,0.047884,-0.002266
1761571322,0.079845,0.046064,-0.001820
1761571325,0.077464,0.044807,-0.001257
1761571328,0.074762,0.044230,-0.000578
1761571331,0.073077,0.043881,-0.000349
1761571334,0.071455,0.043749,-0.000132
1761571337,0.069943,0.043797,0.000048
1761571340,0.068798,0.043871,0.000074
1761571343,0.067448,0.044092,0.000221
1761571346,0.066020,0.044511,0.000419
1761571349,0.064762,0.045054,0.000544
1761571352,0.063653,0.045662,0.000608
1761571355,0.062851,0.046193,0.000530
1761571358,0.062110,0.046645,0.000452
1761571361,0.061628,0.047120,0.000475
1761571364,0.060968,0.047677,0.000558
1761571367,0.061091,0.047879,0.000201
1761571370,0.060927,0.047934,0.000056
1761571373,0.060842,0.047840,-0.000095
1761571376,0.060524,0.047754,-0.000086
1761571379,0.060043,0.047744,-0.000010
1761571382,0.060027,0.047808,0.000063
1761571385,0.059696,0.048077,0.000270
1761571388,0.059342,0.048552,0.000474
1761571391,0.059260,0.049038,0.000487
1761571394,0.059182,0.049537,0.000499
1761571397,0.059169,0.050005,0.000468
1761571400,0.058875,0.050644,0.000639
1761571403,0.058824,0.051450,0.000806
1761571406,0.058681,0.052490,0.001040
1761571409,0.058784,0.053551,0.001061
1761571412,0.058886,0.054640,0.001088
1761571415,0.058866,0.055868,0.001228
1761571418,0.058817,0.057263,0.001396
1761571421,0.058627,0.059003,0.001740
1761571424,0.058712,0.060850,0.001847
1761571427,0.058594,0.063058,0.002208
1761571430,0.058506,0.065610,0.002552
1761571433,0.058562,0.068328,0.002718
1761571436,0.058702,0.071109,0.002781
1761571439,0.058727,0.074159,0.003050
1761571442,0.058800,0.077625,0.003466
1761571445,0.058883,0.081652,0.004027
1761571448,0.058964,0.085793,0.004140
1761571451,0.059046,0.091256,0.005464
1761571454,0.059264,0.096539,0.005283
1761571457,0.059427,0.103310,0.006771
1761571460,0.059643,0.110813,0.007502
1761571463,0.059775,0.119548,0.008735
1761571466,0.059907,0.129808,0.010260
1761571469,0.060147,0.141374,0.011566
1761571472,0.060412,0.152853,0.011479
1761571475,0.060730,0.167362,0.014509
1761571478,0.061045,0.181628,0.014266
1761571481,0.061493,0.198927,0.017299
1761571484,0.061858,0.217995,0.019068
1761571487,0.062327,0.236827,0.018832
1761571490,0.062846,0.255399,0.018572
1761571493,0.063521,0.273632,0.018233
1761571496,0.064218,0.291516,0.017884
1761571499,0.064910,0.308370,0.016855
1761571502,0.065546,0.324182,0.015812
1761571505,0.066414,0.335757,0.011575
1761571508,0.067067,0.342777,0.007020
1761571511,0.067950,0.348644,0.005868
1761571514,0.068828,0.350547,0.001902
1761571517,0.069726,0.348627,-0.001919
1761571520,0.070438,0.345058,-0.003569
1761571523,0.071274,0.338856,-0.006202
1761571526,0.071901,0.332099,-0.006757
1761571529,0.072829,0.322451,-0.009649
1761571532,0.073549,0.311891,-0.010560
1761571535,0.074391,0.299781,-0.012110
1761571538,0.074975,0.287988,-0.011793
1761571541,0.075555,0.276514,-0.011474
1761571544,0.076283,0.264536,-0.011978
1761571547,0.077031,0.252099,-0.012437
1761571550,0.077600,0.240188,-0.011911
1761571553,0.077841,0.229202,-0.010986
1761571556,0.078231,0.220501,-0.008702
1761571559,0.078865,0.211666,-0.008835
1761571562,0.079348,0.203403,-0.008263
1761571565,0.079557,0.196863,-0.006540
1761571568,0.079838,0.191594,-0.005269
1761571571,0.080118,0.187523,-0.004072
1761571574,0.080273,0.185223,-0.002300
1761571577,0.080623,0.183628,-0.001595
1761571580,0.080801,0.183694,0.000065
1761571583,0.081171,0.184282,0.000588
1761571586,0.081467,0.185858,0.001577
1761571589,0.081665,0.189140,0.003281
1761571592,0.081958,0.193550,0.004410
1761571595,0.082392,0.198031,0.004480
1761571598,0.082705,0.203595,0.005564
1761571601,0.083088,0.209706,0.006111
1761571604,0.083515,0.215972,0.006266
1761571607,0.083964,0.222189,0.006217
1761571610,0.084363,0.228842,0.006653
1761571613,0.084995,0.233583,0.004741
1761571616,0.085295,0.239731,0.006148
1761571619,0.085851,0.244637,0.004907
1761571622,0.086474,0.247619,0.002982
1761571625,0.086791,0.251780,0.004161
1761571628,0.087268,0.255441,0.003660
1761571631,0.087766,0.258361,0.002921
1761571634,0.088353,0.259608,0.001247
1761571637,0.088661,0.262062,0.002453
1761571640,0.089128,0.264032,0.001970
1761571643,0.089524,0.266264,0.002232
1761571646,0.089895,0.269021,0.002757
1761571649,0.090378,0.271037,0.002015
1761571652,0.090835,0.272574,0.001537
1761571655,0.091448,0.271945,-0.000629
1761571658,0.092080,0.269104,-0.002841
1761571661,0.092484,0.266357,-0.002747
1761571664,0.092908,0.263484,-0.002873
1761571667,0.093420,0.259661,-0.003824
1761571670,0.093973,0.254576,-0.005084
1761571673,0.094346,0.249843,-0.004733
1761571676,0.094716,0.245439,-0.004403
1761571679,0.095151,0.240790,-0.004649
1761571682,0.095815,0.232393,-0.008397
1761571685,0.096827,0.218646,-0.013748
1761571688,0.097674,0.202269,-0.016376
1761571691,0.098359,0.184976,-0.017293
1761571694,0.098712,0.168274,-0.016702
1761571697,0.099232,0.151951,-0.016323
1761571700,0.099576,0.136587,-0.015364
1761571703,0.100209,0.121052,-0.015535
1761571706,0.100351,0.106543,-0.014509
1761571709,0.100571,0.093126,-0.013417
1761571712,0.100363,0.081198,-0.011929
1761571715,0.100020,0.070728,-0.010470
1761571718,0.099685,0.061562,-0.009165
1761571721,0.099148,0.053757,-0.007805
1761571724,0.098809,0.047140,-0.006617
1761571727,0.098606,0.041463,-0.005677
1761571730,0.098397,0.036614,-0.004848
1761571733,0.098031,0.032545,-0.004070
1761571736,0.097616,0.029175,-0.003370
1761571739,0.097197,0.026421,-0.002754
1761571742,0.096995,0.024173,-0.002249
1761571745,0.096908,0.022331,-0.001841
1761571748,0.096728,0.020843,-0.001489
1761571751,0.096530,0.019753,-0.001090
1761571754,0.096351,0.019112,-0.000641
1761571757,0.096155,0.018851,-0.000261
1761571760,0.095979,0.018971,0.000120
1761571763,0.095839,0.019334,0.000362
1761571766,0.095646,0.020357,0.001023
1761571769,0.095434,0.022064,0.001707
1761571772,0.095242,0.024353,0.002289
1761571775,0.095070,0.026820,0.002467
1761571778,0.094934,0.029354,0.002534
1761571781,0.094818,0.031947,0.002592
1761571784,0.094647,0.034625,0.002678
1761571787,0.094477,0.037388,0.002763
1761571790,0.094362,0.040209,0.002820
1761571793,0.094247,0.043086,0.002877
1761571796,0.094152,0.046011,0.002925
1761571799,0.094020,0.049002,0.002991
1761571802,0.093961,0.052022,0.003020
1761571805,0.093885,0.055081,0.003059
1761571808,0.093808,0.058178,0.003097
1761571811,0.093679,0.061340,0.003162
1761571814,0.093621,0.064530,0.003190
1761571817,0.093546,0.067758,0.003228
1761571820,0.093577,0.070969,0.003211
1761571823,0.093520,0.074210,0.003241
1761571826,0.093410,0.077506,0.003296
1761571829,0.093441,0.080785,0.003279
1761571832,0.093438,0.084066,0.003281
1761571835,0.093399,0.087367,0.003301
1761571838,0.093360,0.090687,0.003320
1761571841,0.093322,0.094027,0.003340
1761571844,0.093371,0.097341,0.003314
1761571847,0.093437,0.100622,0.003281
1761571850,0.093363,0.103941,0.003319
1761571853,0.093377,0.107252,0.003311
1761571856,0.093374,0.110565,0.003313
1761571859,0.093387,0.113872,0.003306
1761571862,0.093470,0.117136,0.003264
1761571865,0.093569,0.120350,0.003214
1761571868,0.093651,0.123523,0.003174
1761571871,0.093887,0.126578,0.003054
1761571874,0.093865,0.129645,0.003068
1761571877,0.094031,0.132628,0.002983
1761571880,0.094180,0.135536,0.002909
1761571883,0.094243,0.138415,0.002878
1761571886,0.094305,0.141261,0.002847
1761571889,0.094350,0.144086,0.002824
1761571892,0.094531,0.146819,0.002733
1761571895,0.094693,0.149470,0.002652
1761571898,0.094822,0.152058,0.002588
1761571901,0.095050,0.154531,0.002473
1761571904,0.095161,0.156949,0.002419
1761571907,0.095254,0.159321,0.002372
1761571910,0.095530,0.161553,0.002232
1761571913,0.095656,0.163724,0.002171
1761571916,0.095814,0.165816,0.002091
1761571919,0.095938,0.167845,0.002030
1761571922,0.096046,0.169821,0.001976
1761571925,0.096285,0.171676,0.001855
1761571928,0.096457,0.173446,0.001770
1761571931,0.096678,0.175105,0.001659
1761571934,0.096750,0.176730,0.001624
1761571937,0.096838,0.178310,0.001580
1761571940,0.096959,0.179829,0.001519
1761571943,0.097193,0.181230,0.001401
1761571946,0.097492,0.182481,0.001251
1761571949,0.097806,0.183575,0.001094
1761571952,0.098005,0.184571,0.000996
1761571955,0.098170,0.185484,0.000913
1761571958,0.098400,0.186282,0.000798
1761571961,0.098613,0.186973,0.000691
1761571964,0.098613,0.187667,0.000694
1761571967,0.098613,0.188360,0.000694
1761571970,0.098613,0.189054,0.000694
1761571973,0.098613,0.189748,0.000694
1761571976,0.098613,0.190441,0.000694
1761571979,0.098613,0.191135,0.000694
1761571982,0.098613,0.191828,0.000694
1761571985,0.098613,0.192522,0.000694
1761571988,0.098613,0.193215,0.000694
1761571991,0.098613,0.193909,0.000694
1761571994,0.098613,0.194602,0.000694
1761571997,0.098613,0.195296,0.000694
1761572000,0.098613,0.195989,0.000694
1761572003,0.098613,0.196683,0.000694
1761572006,0.098613,0.197377,0.000694
1761572009,0.098613,0.198070,0.000694
1761572012,0.098613,0.198764,0.000694
1761572015,0.098613,0.199457,0.000694
1761572018,0.098613,0.200151,0.000694
1761572021,0.098613,0.200844,0.000694
1761572024,0.098613,0.201538,0.000694
1761572027,0.098613,0.202231,0.000694
1761572030,0.098613,0.202925,0.000694
1761572033,0.098613,0.203618,0.000694
1761572036,0.098613,0.204312,0.000694
1761572039,0.098613,0.205006,0.000694
1761572042,0.098613,0.205699,0.000694
