timestamp,actual_rate,current_sample_rate,delta
1761233820,0.058333,0.121250,0.021250
1761233823,0.075000,0.133583,0.012333
1761233826,0.080556,0.143250,0.009667
1761233829,0.100000,0.143056,-0.000194
1761233832,0.113333,0.136256,-0.006800
1761233835,0.123611,0.124347,-0.011908
1761233838,0.123864,0.112413,-0.011934
1761233841,0.125893,0.099446,-0.012967
1761233844,0.116176,0.091455,-0.007991
1761233847,0.110000,0.086517,-0.004938
1761233850,0.110326,0.081351,-0.005166
1761233853,0.105288,0.078757,-0.002594
1761233856,0.103879,0.076831,-0.001926
1761233859,0.103986,0.074837,-0.001994
1761233862,0.099394,0.074562,-0.000275
1761233865,0.097135,0.074119,-0.000443
1761233868,0.094064,0.074424,0.000305
1761233871,0.091463,0.075317,0.000893
1761233874,0.088828,0.077033,0.001716
1761233877,0.087000,0.079050,0.002017
1761233880,0.086732,0.078947,-0.000104
1761233883,0.087361,0.076173,-0.002773
1761233886,0.085450,0.072874,-0.003300
1761233889,0.083914,0.068980,-0.003893
1761233892,0.083623,0.064019,-0.004962
1761233895,0.082823,0.058459,-0.005560
1761233898,0.080667,0.053530,-0.004929
1761233901,0.078837,0.048791,-0.004739
1761233904,0.076667,0.044528,-0.004263
1761233907,0.075442,0.040234,-0.004294
1761233910,0.072821,0.036841,-0.003394
1761233913,0.070727,0.034092,-0.002749
1761233916,0.068506,0.032158,-0.001934
1761233919,0.066831,0.030735,-0.001423
1761233922,0.065052,0.029970,-0.000765
1761233925,0.063433,0.029815,-0.000155
1761233928,0.062000,0.030190,0.000375
1761233931,0.060594,0.031138,0.000948
1761233934,0.059386,0.032550,0.001412
1761233937,0.058186,0.034478,0.001928
1761233940,0.057475,0.036687,0.002209
1761233943,0.056746,0.039319,0.002632
1761233946,0.056134,0.042287,0.002969
1761233949,0.055443,0.045709,0.003422
1761233952,0.055300,0.049006,0.003297
1761233955,0.054950,0.052418,0.003412
1761233958,0.055243,0.055244,0.002826
1761233961,0.055055,0.058373,0.003129
1761233964,0.055208,0.061423,0.003050
1761233967,0.055291,0.064473,0.003050
1761233970,0.055404,0.067487,0.003014
1761233973,0.055673,0.070278,0.002791
1761233976,0.055556,0.073297,0.003019
1761233979,0.055943,0.076053,0.002756
1761233982,0.056142,0.078906,0.002853
1761233985,0.056361,0.081852,0.002946
1761233988,0.056667,0.084781,0.002929
1761233991,0.057057,0.087580,0.002800
1761233994,0.057202,0.090559,0.002979
1761233997,0.057345,0.093725,0.003166
1761234000,0.057365,0.097471,0.003746
1761234003,0.057955,0.100888,0.003417
1761234006,0.058218,0.104440,0.003552
1761234009,0.058506,0.108089,0.003649
1761234012,0.058476,0.111985,0.003896
1761234015,0.059127,0.115420,0.003435
1761234018,0.059347,0.119049,0.003629
1761234021,0.059501,0.123150,0.004101
1761234024,0.059777,0.127638,0.004488
1761234027,0.059827,0.132955,0.005317
1761234030,0.060183,0.138575,0.005619
1761234033,0.060426,0.144748,0.006174
1761234036,0.060750,0.151338,0.006589
1761234039,0.061154,0.158183,0.006846
1761234042,0.061391,0.165699,0.007516
1761234045,0.061627,0.173944,0.008245
1761234048,0.061888,0.182908,0.008964
1761234051,0.062066,0.192908,0.010000
1761234054,0.062514,0.203164,0.010256
1761234057,0.062904,0.213874,0.010710
1761234060,0.063131,0.225651,0.011777
1761234063,0.063517,0.237973,0.012322
1761234066,0.064034,0.250344,0.012370
1761234069,0.064734,0.262034,0.011691
1761234072,0.065536,0.272674,0.010640
1761234075,0.066279,0.282498,0.009824
1761234078,0.067360,0.290437,0.007939
1761234081,0.068172,0.298111,0.007673
1761234084,0.068848,0.305229,0.007119
1761234087,0.069624,0.311504,0.006274
1761234090,0.070421,0.316899,0.005396
1761234093,0.070902,0.322283,0.005384
1761234096,0.071820,0.325953,0.003670
1761234099,0.072835,0.328825,0.002871
1761234102,0.073715,0.330306,0.001481
1761234105,0.074360,0.331379,0.001073
1761234108,0.075306,0.331853,0.000474
1761234111,0.076120,0.331602,-0.000251
1761234114,0.076574,0.330931,-0.000672
1761234117,0.077328,0.330020,-0.000911
1761234120,0.078229,0.328267,-0.001753
1761234123,0.079100,0.325459,-0.002808
1761234126,0.079764,0.322538,-0.002921
1761234129,0.080500,0.318825,-0.003714
1761234132,0.081356,0.314710,-0.004114
1761234135,0.082033,0.310185,-0.004525
1761234138,0.082755,0.305193,-0.004992
1761234141,0.083696,0.299468,-0.005725
1761234144,0.084310,0.293431,-0.006037
1761234147,0.084971,0.287027,-0.006404
1761234150,0.085480,0.280435,-0.006592
1761234153,0.085889,0.273771,-0.006664
1761234156,0.086709,0.266555,-0.007216
1761234159,0.087282,0.259076,-0.007479
1761234162,0.087633,0.251579,-0.007497
1761234165,0.088079,0.243956,-0.007624
1761234168,0.088450,0.236288,-0.007668
1761234171,0.088964,0.228412,-0.007875
1761234174,0.089211,0.220632,-0.007780
1761234177,0.089480,0.212924,-0.007709
1761234180,0.089819,0.205205,-0.007719
1761234183,0.090062,0.197595,-0.007610
1761234186,0.090350,0.190039,-0.007556
1761234189,0.090472,0.182758,-0.007280
1761234192,0.090757,0.175545,-0.007214
1761234195,0.090947,0.168290,-0.007255
1761234198,0.091090,0.161564,-0.006725
1761234201,0.091231,0.154869,-0.006695
1761234204,0.091372,0.148482,-0.006387
1761234207,0.091558,0.142656,-0.005826
1761234210,0.091698,0.136874,-0.005782
1761234213,0.091744,0.131641,-0.005232
1761234216,0.091927,0.127111,-0.004530
1761234219,0.091972,0.122842,-0.004269
1761234222,0.092017,0.119278,-0.003564
1761234225,0.091971,0.116736,-0.002542
1761234228,0.092038,0.115024,-0.001712
1761234231,0.092083,0.114315,-0.000710
1761234234,0.091991,0.115245,0.000930
1761234237,0.092171,0.116960,0.001715
1761234240,0.092169,0.120379,0.003419
1761234243,0.092280,0.124237,0.003859
1761234246,0.092502,0.127984,0.003747
1761234249,0.092768,0.131597,0.003613
1761234252,0.092943,0.135124,0.003527
1761234255,0.092962,0.138643,0.003519
1761234258,0.092981,0.142153,0.003510
1761234261,0.093150,0.145576,0.003423
1761234264,0.093392,0.148878,0.003302
1761234267,0.093696,0.150543,0.001665
1761234270,0.094298,0.150632,0.000089
1761234273,0.094828,0.148298,-0.002334
1761234276,0.095053,0.145928,-0.002370
1761234279,0.095403,0.142576,-0.003353
1761234282,0.095900,0.136738,-0.005838
1761234285,0.096198,0.129361,-0.007377
1761234288,0.096449,0.120797,-0.008563
1761234291,0.096734,0.111187,-0.009611
1761234294,0.096853,0.100886,-0.010301
1761234297,0.096654,0.090341,-0.010545
1761234300,0.096589,0.079573,-0.010768
1761234303,0.096512,0.068909,-0.010664
1761234306,0.096320,0.058490,-0.010420
1761234309,0.095996,0.048492,-0.009998
1761234312,0.095676,0.038939,-0.009552
1761234315,0.095379,0.029833,-0.009106
1761234318,0.094991,0.021350,-0.008484
1761234321,0.094801,0.013498,-0.007851
1761234324,0.094625,0.006491,-0.007008
1761234327,0.094432,0.000491,-0.006000
1761234330,0.094221,0.000000,-0.004780
1761234333,0.094080,0.000000,-0.003361
1761234336,0.093801,0.000000,-0.002175
1761234339,0.093593,0.000000,-0.000167
1761234342,0.093385,0.002354,0.002354
1761234345,0.093197,0.005757,0.003403
1761234348,0.092991,0.009263,0.003506
1761234351,0.092805,0.012863,0.003600
1761234354,0.092656,0.016536,0.003674
1761234357,0.092471,0.020303,0.003766
1761234360,0.092341,0.024134,0.003831
1761234363,0.092176,0.028047,0.003914
1761234366,0.092084,0.032006,0.003959
1761234369,0.092013,0.036000,0.003994
1761234372,0.091920,0.040041,0.004041
1761234375,0.091762,0.044162,0.004121
1761234378,0.091703,0.048311,0.004149
1761234381,0.091679,0.052472,0.004161
1761234384,0.091714,0.056615,0.004142
1761234387,0.091661,0.060785,0.004170
1761234390,0.091500,0.065036,0.004252
1761234393,0.091500,0.069286,0.004250
1761234396,0.091465,0.073554,0.004268
1761234399,0.091448,0.077830,0.004276
1761234402,0.091377,0.082142,0.004312
1761234405,0.091378,0.086453,0.004311
1761234408,0.091379,0.090764,0.004311
1761234411,0.091397,0.095065,0.004301
1761234414,0.091450,0.099340,0.004274
1761234417,0.091556,0.103561,0.004221
1761234420,0.091538,0.107792,0.004231
1761234423,0.091521,0.112031,0.004240
1761234426,0.091539,0.116262,0.004230
1761234429,0.091644,0.120439,0.004177
1761234432,0.091678,0.124599,0.004161
1761234435,0.091782,0.128707,0.004108
1761234438,0.091868,0.132772,0.004065
1761234441,0.091919,0.136812,0.004040
1761234444,0.091970,0.140826,0.004014
1761234447,0.092090,0.144780,0.003954
1761234450,0.092260,0.148648,0.003868
1761234453,0.092327,0.152484,0.003836
1761234456,0.092462,0.156251,0.003767
1761234459,0.092580,0.159960,0.003709
1761234462,0.092714,0.163602,0.003642
1761234465,0.092797,0.167203,0.003601
1761234468,0.092879,0.170763,0.003560
1761234471,0.093062,0.174230,0.003467
1761234474,0.093110,0.177674,0.003445
1761234477,0.093359,0.180992,0.003318
1761234480,0.093624,0.184177,0.003185
1761234483,0.093788,0.187282,0.003105
1761234486,0.093967,0.190297,0.003015
1761234489,0.094129,0.193230,0.002934
1761234492,0.094324,0.196066,0.002836
1761234495,0.094452,0.198839,0.002773
1761234498,0.094712,0.201481,0.002642
1761234501,0.094805,0.204077,0.002597
1761234504,0.094997,0.206577,0.002500
1761234507,0.095254,0.208948,0.002371
1761234510,0.095543,0.211173,0.002226
1761234513,0.095699,0.213322,0.002149
1761234516,0.095904,0.215368,0.002046
1761234519,0.096092,0.217320,0.001952
1761234522,0.096296,0.219170,0.001850
1761234525,0.096531,0.220902,0.001732
1761234528,0.096782,0.222509,0.001607
1761234531,0.097080,0.223966,0.001457
1761234534,0.097361,0.225283,0.001317
1761234537,0.097511,0.226526,0.001243
1761234540,0.097645,0.227702,0.001176
1761234543,0.097645,0.228879,0.001177
1761234546,0.097645,0.230057,0.001177
1761234549,0.097645,0.231234,0.001177
1761234552,0.097645,0.232411,0.001177
1761234555,0.097645,0.233589,0.001177
1761234558,0.097645,0.234766,0.001177
1761234561,0.097645,0.235944,0.001177
1761234564,0.097645,0.237121,0.001177
1761234567,0.097645,0.238299,0.001177
1761234570,0.097645,0.239476,0.001177
1761234573,0.097645,0.240653,0.001177
1761234576,0.097645,0.241831,0.001177
1761234579,0.097645,0.243008,0.001177
1761234582,0.097645,0.244186,0.001177
1761234585,0.097645,0.245363,0.001177
1761234588,0.097645,0.246540,0.001177
1761234591,0.097645,0.247718,0.001177
1761234594,0.097645,0.248895,0.001177
1761234597,0.097645,0.250073,0.001177
1761234600,0.097645,0.251250,0.001177
1761234603,0.097645,0.252428,0.001177
1761234606,0.097645,0.253605,0.001177
1761234609,0.097645,0.254782,0.001177
1761234612,0.097645,0.255960,0.001177
1761234615,0.097645,0.257137,0.001177
1761234618,0.097645,0.258315,0.001177
1761234621,0.097645,0.259492,0.001177
1761234624,0.097645,0.260669,0.001177
1761234627,0.097645,0.261847,0.001177
1761234630,0.097645,0.263024,0.001177
1761234633,0.097645,0.264202,0.001177
1761234636,0.097645,0.265379,0.001177
1761234639,0.097645,0.266557,0.001177
1761234642,0.097645,0.267734,0.001177
1761234645,0.097645,0.268911,0.001177
1761234648,0.097645,0.270089,0.001177
1761234651,0.097645,0.271266,0.001177
1761234654,0.097645,0.272444,0.001177
1761234657,0.097645,0.273621,0.001177
1761234660,0.097645,0.274799,0.001177
1761234663,0.097645,0.275976,0.001177
1761234666,0.097645,0.277153,0.001177
1761234669,0.097645,0.278331,0.001177
1761234672,0.097645,0.279508,0.001177
1761234675,0.097645,0.280686,0.001177
1761234678,0.097645,0.281863,0.001177
1761234681,0.097645,0.283040,0.001177
1761234684,0.097645,0.284218,0.001177
1761234687,0.097645,0.285395,0.001177
1761234690,0.097645,0.286573,0.001177
1761234693,0.097645,0.287750,0.001177
1761234696,0.097645,0.288928,0.001177
1761234699,0.097645,0.290105,0.001177
1761234702,0.097645,0.291282,0.001177
1761234705,0.097645,0.292460,0.001177
1761234708,0.097645,0.293637,0.001177
1761234711,0.097645,0.294815,0.001177
1761234714,0.097645,0.295992,0.001177
1761234717,0.097645,0.297169,0.001177
1761234720,0.097645,0.298347,0.001177
1761234723,0.097645,0.299524,0.001177
1761234726,0.097645,0.300702,0.001177
1761234729,0.097645,0.301879,0.001177
1761234732,0.097645,0.303057,0.001177
1761234735,0.097645,0.304234,0.001177
1761234738,0.097645,0.305411,0.001177
1761234741,0.097645,0.306589,0.001177
1761234744,0.097645,0.307766,0.001177
1761234747,0.097645,0.308944,0.001177
1761234750,0.097645,0.310121,0.001177
1761234753,0.097645,0.311299,0.001177
1761234756,0.097645,0.312476,0.001177
1761234759,0.097645,0.313653,0.001177
1761234762,0.097645,0.314831,0.001177
1761234765,0.097645,0.316008,0.001177
1761234768,0.097645,0.317186,0.001177
1761234771,0.097645,0.318363,0.001177
1761234774,0.097645,0.319540,0.001177
1761234777,0.097645,0.320718,0.001177
1761234780,0.097645,0.321895,0.001177
1761234783,0.097645,0.323073,0.001177
1761234786,0.097645,0.324250,0.001177
1761234789,0.097645,0.325428,0.001177
1761234792,0.097645,0.326605,0.001177
1761234795,0.097645,0.327782,0.001177
1761234798,0.097645,0.328960,0.001177
1761234801,0.097645,0.330137,0.001177
1761234804,0.097645,0.331315,0.001177
1761234807,0.097645,0.332492,0.001177
1761234810,0.097645,0.333669,0.001177
1761234813,0.097645,0.334847,0.001177
1761234816,0.097645,0.336024,0.001177
1761234819,0.097645,0.337202,0.001177
1761234822,0.097645,0.338379,0.001177
1761234825,0.097645,0.339557,0.001177
1761234828,0.097645,0.340734,0.001177
1761234831,0.097645,0.341911,0.001177
1761234834,0.097645,0.343089,0.001177
1761234837,0.097645,0.344266,0.001177
1761234840,0.097645,0.345444,0.001177
1761234843,0.097645,0.346621,0.001177
1761234846,0.097645,0.347799,0.001177
1761234849,0.097645,0.348976,0.001177
1761234852,0.097645,0.350153,0.001177
1761234855,0.097645,0.351331,0.001177
1761234858,0.097645,0.352508,0.001177
1761234861,0.097645,0.353686,0.001177
1761234864,0.097645,0.354863,0.001177
1761234867,0.097645,0.356040,0.001177
1761234870,0.097645,0.357218,0.001177
1761234873,0.097645,0.358395,0.001177
1761234876,0.097645,0.359573,0.001177
1761234879,0.097645,0.360750,0.001177
1761234882,0.097645,0.361928,0.001177
1761234885,0.097645,0.363105,0.001177
1761234888,0.097645,0.364282,0.001177
1761234891,0.097645,0.365460,0.001177
1761234894,0.097645,0.366637,0.001177
1761234897,0.097645,0.367815,0.001177
1761234900,0.097645,0.368992,0.001177
1761234903,0.097645,0.370169,0.001177
1761234906,0.097645,0.371347,0.001177
1761234909,0.097645,0.372524,0.001177
1761234912,0.097645,0.373702,0.001177
1761234915,0.097645,0.374879,0.001177
1761234918,0.097645,0.376057,0.001177
1761234921,0.097645,0.377234,0.001177
1761234924,0.097645,0.378411,0.001177
1761234927,0.097645,0.379589,0.001177
1761234930,0.097645,0.380766,0.001177
1761234933,0.097645,0.381944,0.001177
1761234936,0.097645,0.383121,0.001177
1761234939,0.097645,0.384299,0.001177
1761234942,0.097645,0.385476,0.001177
1761234945,0.097645,0.386653,0.001177
1761234948,0.097645,0.387831,0.001177
1761234951,0.097645,0.389008,0.001177
1761234954,0.097645,0.390186,0.001177
1761234957,0.097645,0.391363,0.001177
1761234960,0.097645,0.392540,0.001177
1761234963,0.097645,0.393718,0.001177
1761234966,0.097645,0.394895,0.001177
1761234969,0.097645,0.396073,0.001177
1761234972,0.097645,0.397250,0.001177
1761234975,0.097645,0.398428,0.001177
1761234978,0.097645,0.399605,0.001177
1761234981,0.097645,0.400782,0.001177
1761234984,0.097645,0.401960,0.001177
1761234987,0.097645,0.403137,0.001177
1761234990,0.097645,0.404315,0.001177
1761234993,0.097645,0.405492,0.001177
1761234996,0.097645,0.406669,0.001177
1761234999,0.097645,0.407847,0.001177
1761235002,0.097645,0.409024,0.001177
1761235005,0.097645,0.410202,0.001177
1761235008,0.097645,0.411379,0.001177
1761235011,0.097645,0.412557,0.001177
1761235014,0.097645,0.413734,0.001177
1761235017,0.097645,0.414911,0.001177
1761235020,0.097645,0.416089,0.001177
1761235023,0.097645,0.417266,0.001177
1761235026,0.097645,0.418444,0.001177
1761235029,0.097645,0.419621,0.001177
1761235032,0.097645,0.420799,0.001177
1761235035,0.097645,0.421976,0.001177
1761235038,0.097645,0.423153,0.001177
1761235041,0.097645,0.424331,0.001177
1761235044,0.097645,0.425508,0.001177
1761235047,0.097645,0.426686,0.001177
1761235050,0.097645,0.427863,0.001177
