timestamp,actual_rate,current_sample_rate,delta
1761729486,0.160000,0.069400,-0.030600
1761729489,0.087500,0.076375,0.006975
1761729492,0.067857,0.092643,0.016268
1761729495,0.077500,0.103796,0.011154
1761729498,0.096154,0.105533,0.001737
1761729501,0.100000,0.105495,-0.000038
1761729504,0.093421,0.108850,0.003355
1761729507,0.094771,0.111451,0.002601
1761729510,0.100346,0.111222,-0.000229
1761729513,0.106277,0.108024,-0.003198
1761729516,0.108222,0.103894,-0.004131
1761729519,0.109750,0.099003,-0.004890
1761729522,0.109756,0.094125,-0.004878
1761729525,0.109560,0.089347,-0.004778
1761729528,0.107246,0.085747,-0.003600
1761729531,0.102424,0.083691,-0.002056
1761729534,0.100781,0.081830,-0.001862
1761729537,0.099543,0.079462,-0.002368
1761729540,0.098374,0.076751,-0.002710
1761729543,0.094689,0.075477,-0.001274
1761729546,0.093167,0.073789,-0.001687
1761729549,0.090725,0.071939,-0.001850
1761729552,0.088974,0.069426,-0.002512
1761729555,0.086092,0.066905,-0.002521
1761729558,0.084271,0.064303,-0.002602
1761729561,0.082571,0.061724,-0.002579
1761729564,0.081842,0.059041,-0.002683
1761729567,0.079837,0.056740,-0.002301
1761729570,0.079015,0.054326,-0.002414
1761729573,0.077589,0.052153,-0.002173
1761729576,0.076667,0.050036,-0.002117
1761729579,0.075535,0.048107,-0.001929
1761729582,0.074167,0.046475,-0.001632
1761729585,0.072825,0.045125,-0.001350
1761729588,0.071882,0.043892,-0.001233
1761729591,0.070513,0.042959,-0.000933
1761729594,0.068873,0.042424,-0.000534
1761729597,0.067981,0.041949,-0.000475
1761729600,0.067207,0.041499,-0.000450
1761729603,0.066494,0.041064,-0.000435
1761729606,0.065917,0.040602,-0.000462
1761729609,0.065170,0.040330,-0.000272
1761729612,0.064347,0.040267,-0.000063
1761729615,0.063838,0.040257,-0.000010
1761729618,0.063281,0.040322,0.000065
1761729621,0.062536,0.040551,0.000229
1761729624,0.062218,0.040727,0.000176
1761729627,0.062294,0.040774,0.000047
1761729630,0.062457,0.040745,-0.000029
1761729633,0.062157,0.040868,0.000124
1761729636,0.061745,0.041191,0.000323
