timestamp,actual_rate,current_sample_rate,delta,encode_cost_ms,sample_cost_ms
1761887756,0.100000,0.100000,0.000000,0.00,3.00
1761887759,0.100000,0.100000,0.000000,0.00,3.00
1761887762,0.100000,0.100000,0.000000,0.00,3.50
1761887765,0.100000,0.100000,0.000000,0.00,7.60
1761887768,0.100000,0.100000,0.000000,0.00,7.00
1761887771,0.100000,0.100000,0.000000,0.00,6.29
1761887774,0.100000,0.100000,0.000000,0.00,5.44
1761887777,0.100000,0.100000,0.000000,0.00,5.25
1761887780,0.100000,0.100000,0.000000,0.00,4.79
1761887783,0.100000,0.100000,0.000000,0.00,4.56
1761887786,0.100000,0.100000,0.000000,0.00,4.16
1761887789,0.100000,0.100000,0.000000,0.00,4.05
1761887792,0.100000,0.100000,0.000000,0.00,3.88
1761887795,0.100000,0.098462,-0.001538,0.01,4.24
1761887798,0.098529,0.099204,0.000743,0.01,4.09
1761887801,0.097250,0.099948,0.000743,0.01,3.85
1761887804,0.096444,0.101255,0.001307,0.01,3.71
1761887807,0.096863,0.098620,-0.002635,0.01,3.67
1761887810,0.096250,0.097165,-0.001454,0.01,3.61
1761887813,0.095645,0.095164,-0.002001,0.01,3.47
1761887816,0.094930,0.090558,-0.004606,0.01,3.32
1761887819,0.094375,0.085008,-0.005550,0.01,3.19
1761887822,0.092921,0.080275,-0.004733,0.01,3.07
1761887825,0.091856,0.076219,-0.004056,0.01,3.02
1761887828,0.089813,0.072712,-0.003507,0.01,2.90
1761887831,0.088276,0.069680,-0.003032,0.01,2.80
1761887834,0.086667,0.067785,-0.001896,0.01,2.73
1761887837,0.084848,0.065994,-0.001790,0.01,2.63
1761887840,0.083262,0.064260,-0.001735,0.01,2.57
1761887843,0.081867,0.062540,-0.001720,0.01,2.53
1761887846,0.080629,0.060819,-0.001721,0.01,2.48
1761887849,0.079524,0.059097,-0.001722,0.01,2.43
1761887852,0.078023,0.057645,-0.001452,0.02,2.39
1761887855,0.076667,0.056318,-0.001327,0.02,2.35
1761887858,0.075436,0.055072,-0.001247,0.02,2.30
1761887861,0.074314,0.053889,-0.001183,0.02,2.26
1761887864,0.073286,0.052743,-0.001146,0.02,2.22
1761887867,0.072342,0.051630,-0.001112,0.02,2.18
1761887870,0.071472,0.050549,-0.001081,0.02,2.15
1761887873,0.070667,0.049497,-0.001052,0.02,2.12
1761887876,0.069798,0.048766,-0.000731,0.02,2.08
1761887879,0.068976,0.048232,-0.000533,0.02,2.05
1761887882,0.068199,0.047845,-0.000388,0.02,2.03
1761887885,0.067463,0.047568,-0.000277,0.02,2.01
1761887888,0.066667,0.047316,-0.000252,0.02,1.99
1761887891,0.066007,0.047152,-0.000164,0.02,1.96
1761887894,0.065467,0.047123,-0.000029,0.02,1.96
1761887897,0.065034,0.047256,0.000133,0.02,1.94
1761887900,0.064615,0.047519,0.000263,0.02,1.92
1761887903,0.064211,0.047885,0.000367,0.02,1.91
1761887906,0.063896,0.048408,0.000523,0.02,1.89
1761887909,0.063514,0.048986,0.000578,0.02,1.88
1761887912,0.063145,0.049624,0.000638,0.02,1.86
1761887915,0.062857,0.050397,0.000773,0.02,1.85
1761887918,0.062778,0.051408,0.001012,0.02,1.85
1761887921,0.062622,0.052405,0.000997,0.02,1.84
1761887924,0.062545,0.053637,0.001232,0.02,1.83
1761887927,0.062432,0.054956,0.001319,0.02,1.83
1761887930,0.062321,0.056377,0.001421,0.02,1.83
1761887933,0.062212,0.057903,0.001525,0.02,1.82
1761887936,0.062141,0.059675,0.001772,0.02,1.82
1761887939,0.062035,0.061538,0.001863,0.02,1.81
1761887942,0.062023,0.063608,0.002070,0.02,1.81
