timestamp,actual_rate,current_sample_rate,delta
1761827666,0.100000,0.100000,0.000000
1761827669,0.100000,0.100000,0.000000
1761827672,0.100000,0.100000,0.000000
1761827675,0.100000,0.100000,0.000000
1761827678,0.100000,0.100000,0.000000
1761827681,0.100000,0.100000,0.000000
1761827684,0.100000,0.100000,0.000000
1761827687,0.100000,0.097143,-0.002857
1761827690,0.097857,0.095662,-0.001481
1761827693,0.096111,0.093018,-0.002644
1761827696,0.094889,0.088781,-0.004237
1761827699,0.092407,0.085481,-0.003301
1761827702,0.090635,0.082778,-0.002702
1761827705,0.089306,0.079883,-0.002895
1761827708,0.087160,0.077590,-0.002293
1761827711,0.085444,0.075419,-0.002171
1761827714,0.084479,0.074132,-0.001287
1761827717,0.083238,0.072269,-0.001862
1761827720,0.082193,0.070099,-0.002171
1761827723,0.081393,0.067953,-0.002146
1761827726,0.080233,0.066319,-0.001635
1761827729,0.079191,0.064942,-0.001377
1761827732,0.078125,0.063520,-0.001422
1761827735,0.077635,0.062802,-0.000718
1761827738,0.077059,0.062320,-0.000483
1761827741,0.076519,0.061980,-0.000340
1761827744,0.076111,0.061947,-0.000033
1761827747,0.075818,0.062323,0.000376
1761827750,0.075536,0.062982,0.000659
1761827753,0.075353,0.064093,0.001111
1761827756,0.075087,0.065335,0.001242
1761827759,0.074914,0.066980,0.001645
1761827762,0.074663,0.068695,0.001715
1761827765,0.074581,0.071076,0.002381
1761827768,0.074556,0.074006,0.002930
1761827771,0.074530,0.077490,0.003484
1761827774,0.074505,0.081584,0.004094
1761827777,0.074565,0.085704,0.004121
1761827780,0.074595,0.090598,0.004894
1761827783,0.074677,0.096223,0.005626
1761827786,0.074759,0.102717,0.006494
1761827789,0.074894,0.109254,0.006537
1761827792,0.075158,0.116695,0.007441
1761827795,0.075340,0.124324,0.007629
1761827798,0.075573,0.134606,0.010282
1761827801,0.075855,0.146436,0.011830
1761827804,0.076186,0.158104,0.011668
1761827807,0.076939,0.170125,0.012021
1761827810,0.077411,0.181799,0.011674
1761827813,0.077929,0.197840,0.016041
1761827816,0.078492,0.215926,0.018086
1761827819,0.079150,0.232343,0.016417
1761827822,0.080644,0.244633,0.012290
1761827825,0.081429,0.254999,0.010366
1761827828,0.082255,0.266253,0.011254
1761827831,0.083122,0.277978,0.011724
1761827834,0.084029,0.289874,0.011896
1761827837,0.085913,0.293822,0.003948
1761827840,0.086890,0.298099,0.004277
1761827843,0.087857,0.302412,0.004314
1761827846,0.088863,0.303092,0.000679
1761827849,0.089858,0.303534,0.000442
1761827852,0.091822,0.299823,-0.003711
1761827855,0.091822,0.300882,0.001059
1761827858,0.093750,0.290845,-0.010036
1761827861,0.094654,0.282075,-0.008770
1761827864,0.095505,0.274331,-0.007744
1761827867,0.096301,0.267323,-0.007008
1761827870,0.097045,0.260994,-0.006329
1761827873,0.098514,0.245016,-0.015978
1761827876,0.099148,0.226001,-0.019015
1761827879,0.099687,0.207066,-0.018935
1761827882,0.100133,0.186251,-0.020815
1761827885,0.101184,0.158765,-0.027486
1761827888,0.101818,0.112855,-0.045910
1761827891,0.101923,0.084826,-0.028029
1761827894,0.101555,0.050858,-0.033968
1761827897,0.100287,0.044040,-0.006818
1761827900,0.098840,0.046707,0.002667
1761827903,0.097461,0.055925,0.009218
1761827906,0.096911,0.068580,0.012655
1761827909,0.096489,0.082989,0.014409
1761827912,0.096302,0.098526,0.015537
1761827915,0.096278,0.118042,0.019516
1761827918,0.096381,0.134872,0.016829
1761827921,0.096506,0.155171,0.020299
1761827924,0.096704,0.178856,0.023686
1761827927,0.096974,0.205652,0.026796
1761827930,0.097353,0.234656,0.029003
1761827933,0.098321,0.246818,0.012162
1761827936,0.098836,0.251874,0.005057
1761827939,0.099384,0.250819,-0.001055
1761827942,0.099928,0.245711,-0.005109
1761827945,0.100432,0.232781,-0.012930
1761827948,0.101357,0.205849,-0.026932
1761827951,0.101708,0.178689,-0.027160
1761827954,0.101950,0.074171,-0.104519
1761827957,0.101837,0.002619,-0.071551
1761827960,0.101514,0.000000,-0.046229
1761827963,0.100804,0.000000,-0.016838
1761827966,0.100453,0.000000,-0.008375
1761827969,0.100104,0.000000,-0.001608
1761827972,0.099792,0.003222,0.003222
1761827975,0.099448,0.016537,0.013315
1761827978,0.098836,0.037682,0.021145
1761827981,0.098601,0.060240,0.022558
1761827984,0.098469,0.091228,0.030988
1761827987,0.098441,0.118877,0.027649
1761827990,0.098480,0.143000,0.024123
1761827993,0.098758,0.167676,0.024676
1761827996,0.098963,0.185783,0.018107
1761827999,0.099233,0.197765,0.011983
1761828002,0.099535,0.209423,0.011658
1761828005,0.099868,0.212104,0.002681
1761828008,0.100592,0.201320,-0.010784
1761828011,0.100918,0.187240,-0.014080
1761828014,0.101176,0.137898,-0.049342
1761828017,0.101270,0.096552,-0.041346
1761828020,0.101234,0.063382,-0.033170
1761828023,0.100968,0.044178,-0.019203
1761828026,0.100772,0.030499,-0.013679
1761828029,0.100545,0.021837,-0.008662
1761828032,0.100288,0.012645,-0.009192
1761828035,0.100000,0.012828,0.000184
1761828038,0.099430,0.024449,0.011620
1761828041,0.099180,0.039120,0.014671
1761828044,0.098962,0.055827,0.016708
1761828047,0.098809,0.081683,0.025856
1761828050,0.098750,0.105456,0.023772
1761828053,0.098758,0.133313,0.027857
1761828056,0.098854,0.155769,0.022457
1761828059,0.099012,0.173057,0.017288
1761828062,0.099231,0.192631,0.019574
1761828065,0.099231,0.212163,0.019531
1761828068,0.099231,0.231694,0.019531
1761828071,0.099231,0.251225,0.019531
1761828074,0.099231,0.270756,0.019531
1761828077,0.099231,0.290288,0.019531
1761828080,0.099231,0.309819,0.019531
1761828083,0.099231,0.329350,0.019531
1761828086,0.099231,0.348881,0.019531
1761828089,0.099231,0.368413,0.019531
1761828092,0.099231,0.387944,0.019531
1761828095,0.099231,0.407475,0.019531
1761828098,0.099231,0.427006,0.019531
1761828101,0.099231,0.446538,0.019531
1761828104,0.099231,0.466069,0.019531
1761828107,0.099231,0.485600,0.019531
1761828110,0.099231,0.505131,0.019531
1761828113,0.099231,0.524663,0.019531
1761828116,0.099231,0.544194,0.019531
1761828119,0.099231,0.563725,0.019531
1761828122,0.099231,0.583256,0.019531
1761828125,0.099231,0.602788,0.019531
1761828128,0.099231,0.622319,0.019531
1761828131,0.099231,0.641850,0.019531
1761828134,0.099231,0.661381,0.019531
1761828137,0.099231,0.680913,0.019531
1761828140,0.099231,0.700444,0.019531
1761828143,0.099231,0.719975,0.019531
1761828146,0.099231,0.739506,0.019531
1761828149,0.099231,0.759038,0.019531
1761828152,0.099231,0.778569,0.019531
1761828155,0.099231,0.798100,0.019531
1761828158,0.099231,0.817631,0.019531
1761828161,0.099231,0.837163,0.019531
1761828164,0.099231,0.856694,0.019531
1761828167,0.099231,0.876225,0.019531
1761828170,0.099231,0.895756,0.019531
1761828173,0.099231,0.915288,0.019531
1761828176,0.099231,0.934819,0.019531
1761828179,0.099231,0.954350,0.019531
1761828182,0.099231,0.973881,0.019531
1761828185,0.099231,0.993413,0.019531
1761828188,0.099231,1.012944,0.019531
1761828191,0.099231,1.032475,0.019531
1761828194,0.099231,1.052006,0.019531
1761828197,0.099231,1.071538,0.019531
1761828200,0.099231,1.091069,0.019531
1761828203,0.099231,1.110600,0.019531
1761828206,0.099231,1.130131,0.019531
1761828209,0.099231,1.149663,0.019531
1761828212,0.099231,1.169194,0.019531
