timestamp,actual_rate,cumulative_actual_rate,current_sample_rate,encode_cost_ms,sample_cost_ms,abnormal_count,trace_count,sample_count
1764073370,0.100000,0.100000,0.100000,0.00,6.00,6,200,1
1764073379,0.100000,0.100000,0.100000,0.01,7.00,5,400,2
1764073385,0.100000,0.100000,0.100000,0.01,7.00,4,600,3
1764073391,0.100000,0.100000,0.100000,0.03,6.50,5,800,4
1764073396,0.100000,0.100000,0.100000,0.04,6.40,8,1000,5
1764073403,0.100000,0.100000,0.100000,0.05,6.50,6,1200,6
1764073406,0.100000,0.100000,0.100000,0.06,6.29,4,1400,7
1764073407,0.100000,0.100000,0.100000,0.07,6.38,8,1600,8
1764073407,0.100000,0.100000,0.100000,0.07,6.67,4,1800,9
1764073408,0.100000,0.100000,0.100000,0.08,7.10,3,2000,10
1764073409,0.100000,0.100000,0.100000,0.09,7.27,8,2200,11
1764073409,0.100000,0.100000,0.100000,0.09,7.25,4,2400,12
1764073411,0.090000,0.099231,0.092766,0.10,7.15,9,2600,13
1764073413,0.085000,0.098214,0.086820,0.10,6.93,5,2800,14
1764073414,0.085000,0.097333,0.086820,0.11,6.87,5,3000,15
1764073415,0.085000,0.096562,0.086820,0.11,8.69,6,3200,16
1764073416,0.080000,0.095588,0.080894,0.11,8.47,5,3400,17
1764073416,0.080000,0.094722,0.080894,0.12,8.17,7,3600,18
1764073418,0.080000,0.093947,0.080894,0.12,8.00,7,3800,19
1764073418,0.080000,0.093250,0.080894,0.13,7.90,6,4000,20
1764073419,0.070000,0.092143,0.074789,0.13,7.67,1,4200,21
1764073420,0.070000,0.091136,0.074789,0.14,7.45,8,4400,22
1764073420,0.070000,0.090217,0.074789,0.15,7.30,4,4600,23
1764073421,0.070000,0.089375,0.074789,0.15,7.21,5,4800,24
1764073422,0.065000,0.088400,0.069350,0.15,7.04,5,5000,25
1764073423,0.065000,0.087500,0.069350,0.15,6.92,9,5200,26
1764073423,0.065000,0.086667,0.069350,0.16,6.85,2,5400,27
1764073424,0.065000,0.085893,0.069350,0.16,7.21,4,5600,28
1764073424,0.065000,0.085172,0.069350,0.16,7.31,9,5800,29
1764073425,0.060000,0.084333,0.064322,0.16,7.13,5,6000,30
1764073426,0.060000,0.083548,0.064322,0.16,7.06,5,6200,31
1764073427,0.060000,0.082812,0.064322,0.17,7.09,3,6400,32
1764073428,0.060000,0.082121,0.060287,0.17,7.03,5,6600,33
1764073428,0.060000,0.081471,0.060287,0.17,6.97,6,6800,34
1764073428,0.060000,0.080857,0.060287,0.17,6.91,6,7000,35
1764073429,0.060000,0.080278,0.060287,0.17,6.81,5,7200,36
1764073430,0.060000,0.079730,0.060287,0.18,6.70,9,7400,37
1764073430,0.060000,0.079211,0.060287,0.18,6.58,6,7600,38
1764073431,0.055000,0.078590,0.056271,0.18,6.46,6,7800,39
1764073431,0.055000,0.078000,0.056271,0.18,6.33,8,8000,40
1764073432,0.055000,0.077439,0.056271,0.19,6.27,4,8200,41
1764073433,0.055000,0.076905,0.056271,0.19,6.19,6,8400,42
1764073434,0.050000,0.076279,0.052926,0.19,6.12,5,8600,43
1764073435,0.050000,0.075682,0.052926,0.20,6.02,7,8800,44
1764073437,0.050000,0.075111,0.050626,0.20,5.96,6,9000,45
1764073438,0.050000,0.074565,0.050626,0.20,5.98,7,9200,46
1764073438,0.050000,0.074043,0.050626,0.20,5.91,7,9400,47
1764073440,0.045000,0.073438,0.048927,0.20,5.81,5,9600,48
1764073442,0.045000,0.072857,0.048927,0.21,5.73,5,9800,49
1764073442,0.045000,0.072300,0.048037,0.21,5.70,5,10000,50
1764073444,0.295000,0.076667,0.048037,0.21,5.98,59,10200,51
1764073446,0.270000,0.080385,0.045571,0.21,6.10,54,10400,52
1764073449,0.295000,0.084434,0.042666,0.21,6.28,59,10600,53
1764073454,0.240000,0.087315,0.039256,0.22,6.37,48,10800,54
1764073458,0.320000,0.091545,0.033851,0.22,6.53,64,11000,55
1764073463,0.310000,0.095446,0.030574,0.22,6.70,62,11200,56
1764073467,0.285000,0.098772,0.024219,0.22,6.86,57,11400,57
1764073471,0.250000,0.101379,0.020470,0.22,6.97,50,11600,58
1764073474,0.285000,0.104492,0.016241,0.23,7.27,57,11800,59
1764073476,0.330000,0.108250,0.010845,0.23,7.42,66,12000,60
1764073478,0.045000,0.107213,0.010845,0.23,7.31,9,12200,61
1764073482,0.025000,0.105887,0.000000,0.23,7.21,5,12400,62
1764073485,0.030000,0.104683,0.000000,0.23,7.11,6,12600,63
1764073489,0.025000,0.103438,0.000000,0.24,7.02,5,12800,64
1764073492,0.020000,0.102154,0.000000,0.24,6.94,4,13000,65
1764073495,0.040000,0.101212,0.000000,0.24,6.85,8,13200,66
1764073497,0.040000,0.100299,0.000000,0.24,6.76,8,13400,67
1764073499,0.020000,0.099118,0.000000,0.24,6.66,4,13600,68
1764073500,0.045000,0.098333,0.001305,0.25,6.59,9,13800,69
1764073502,0.040000,0.097500,0.001305,0.25,6.53,8,14000,70
1764073506,0.045000,0.096761,0.004986,0.25,6.46,9,14200,71
1764073509,0.040000,0.095972,0.007227,0.25,6.39,8,14400,72
1764073513,0.025000,0.095000,0.009781,0.25,6.32,5,14600,73
1764073516,0.040000,0.094257,0.012760,0.25,6.24,8,14800,74
1764073520,0.025000,0.093333,0.019010,0.26,6.17,5,15000,75
1764073523,0.020000,0.092368,0.019010,0.26,6.09,4,15200,76
1764073525,0.025000,0.091494,0.022540,0.26,6.03,5,15400,77
1764073527,0.030000,0.090705,0.026127,0.26,5.97,6,15600,78
1764073530,0.025000,0.089873,0.029770,0.26,5.91,3,15800,79
1764073532,0.025000,0.089063,0.029770,0.26,5.85,4,16000,80
1764073535,0.045000,0.088519,0.033388,0.27,5.80,9,16200,81
1764073537,0.035000,0.087866,0.036945,0.27,5.74,4,16400,82
