timestamp,actual_rate,current_sample_rate,delta,encode_cost_ms,sample_cost_ms
1762168235,0.100000,0.100000,0.000000,0.00,7.00
1762168238,0.100000,0.100000,0.000000,0.00,5.00
1762168241,0.100000,0.100000,0.000000,0.00,5.00
1762168244,0.100000,0.100000,0.000000,0.00,5.00
1762168247,0.100000,0.100000,0.000000,0.00,6.00
1762168250,0.100000,0.100000,0.000000,0.00,5.60
1762168253,0.100000,0.100000,0.000000,0.00,5.50
1762168256,0.100000,0.100000,0.000000,0.00,5.50
1762168259,0.100000,0.100000,0.000000,0.00,5.29
1762168262,0.100000,0.100000,0.000000,0.00,4.89
1762168265,0.100000,0.100000,0.000000,0.00,4.80
1762168268,0.100000,0.100000,0.000000,0.00,4.64
1762168271,0.100000,0.100000,0.000000,0.00,4.58
1762168274,0.100000,0.100000,0.000000,0.00,5.00
1762168277,0.100000,0.100000,0.000000,0.00,5.00
1762168280,0.100000,0.100000,0.000000,0.00,4.87
1762168283,0.100000,0.100000,0.000000,0.00,4.81
1762168286,0.100000,0.100000,0.000000,0.00,4.94
1762168289,0.100000,0.091650,-0.008350,0.00,4.37
1762168292,0.098824,0.084336,-0.007315,0.00,4.32
1762168295,0.096842,0.078177,-0.006159,0.00,4.13
1762168298,0.093182,0.073344,-0.004833,0.00,3.82
1762168301,0.090000,0.068670,-0.004674,0.00,3.57
1762168304,0.085500,0.064784,-0.003886,0.00,3.30
1762168307,0.082500,0.061557,-0.003227,0.00,3.16
1762168310,0.079870,0.058227,-0.003330,0.00,3.04
1762168313,0.077381,0.055721,-0.002506,0.00,2.93
1762168316,0.074468,0.053388,-0.002333,0.00,2.83
1762168319,0.071698,0.050939,-0.002449,0.00,2.70
1762168322,0.070354,0.048964,-0.001975,0.00,2.60
1762168325,0.069569,0.047919,-0.001045,0.00,2.58
1762168328,0.068115,0.047303,-0.000616,0.00,2.51
1762168331,0.067008,0.047121,-0.000182,0.00,2.46
