timestamp,actual_rate,current_sample_rate,delta,encode_cost_ms,sample_cost_ms
1763648801,0.100000,0.100000,0.000000,0.00,2.00
1763648804,0.100000,0.100000,0.000000,0.00,2.00
1763648807,0.100000,0.100000,0.000000,0.00,2.00
1763648810,0.100000,0.100000,0.000000,0.00,2.00
1763648813,0.100000,0.100000,0.000000,0.00,2.75
1763648816,0.100000,0.100000,0.000000,0.00,2.75
1763648819,0.100000,0.100000,0.000000,0.00,2.60
1763648822,0.100000,0.100000,0.000000,0.00,2.33
1763648825,0.100000,0.100000,0.000000,0.00,2.33
1763648828,0.100000,0.100000,0.000000,0.00,2.29
1763648831,0.100000,0.100000,0.000000,0.00,2.11
1763648834,0.100000,0.100000,0.000000,0.00,2.10
1763648837,0.100000,0.100000,0.000000,0.00,2.18
1763648840,0.100000,0.100000,0.000000,0.00,2.08
1763648843,0.100000,0.100000,0.000000,0.00,2.21
1763648846,0.100000,0.100000,0.000000,0.00,2.47
1763648849,0.100000,0.100000,0.000000,0.00,2.44
1763648852,0.100000,0.100000,0.000000,0.00,2.44
1763648855,0.100000,0.100000,0.000000,0.00,2.41
1763648858,0.100000,0.100000,0.000000,0.00,2.33
1763648861,0.100000,0.100000,0.000000,0.00,2.29
1763648864,0.100000,0.090619,-0.009381,0.00,2.15
1763648867,0.098947,0.082415,-0.008204,0.00,2.05
1763648870,0.097561,0.075644,-0.006772,0.00,2.00
1763648873,0.094043,0.070403,-0.005241,0.00,1.91
1763648876,0.090545,0.065652,-0.004751,0.00,1.93
1763648879,0.087097,0.061960,-0.003692,0.00,1.85
1763648882,0.084000,0.058770,-0.003191,0.00,1.80
1763648885,0.080513,0.056419,-0.002351,0.00,1.69
1763648888,0.077674,0.054329,-0.002090,0.00,1.73
1763648891,0.075319,0.052763,-0.001566,0.00,1.72
1763648894,0.072453,0.050876,-0.001887,0.00,1.70
1763648897,0.070342,0.048882,-0.001994,0.00,1.62
1763648900,0.068629,0.047508,-0.001374,0.00,1.58
1763648903,0.067519,0.046715,-0.000793,0.00,1.55
1763648906,0.066493,0.046367,-0.000348,0.00,1.54
1763648909,0.065540,0.046363,-0.000004,0.00,1.50
1763648912,0.064653,0.046627,0.000264,0.00,1.49
1763648915,0.063826,0.047093,0.000466,0.00,1.46
1763648918,0.063355,0.047958,0.000865,0.00,1.44
1763648921,0.063203,0.049448,0.001489,0.00,1.44
1763648924,0.062903,0.051342,0.001894,0.00,1.43
1763648927,0.062821,0.053482,0.002141,0.00,1.43
1763648930,0.062658,0.055888,0.002406,0.00,1.43
1763648933,0.062579,0.058894,0.003006,0.00,1.43
1763648936,0.062500,0.062904,0.004010,0.00,1.42
1763648939,0.062469,0.067049,0.004146,0.00,1.46
1763648942,0.062454,0.071949,0.004900,0.00,1.46
1763648945,0.062500,0.076998,0.005049,0.00,1.47
1763648948,0.062590,0.082838,0.005840,0.00,1.48
1763648951,0.062695,0.089695,0.006858,0.00,1.49
1763648954,0.062899,0.096615,0.006920,0.00,1.49
1763648957,0.063059,0.104872,0.008257,0.00,1.49
1763648960,0.063488,0.111660,0.006788,0.00,1.50
1763648963,0.064545,0.115654,0.003994,0.00,1.53
1763648966,0.065056,0.118666,0.003012,0.00,1.53
1763648969,0.065556,0.121588,0.002922,0.00,1.54
1763648972,0.066154,0.125143,0.003555,0.00,1.57
1763648975,0.066739,0.128305,0.003162,0.00,1.59
1763648978,0.067027,0.133098,0.004794,0.00,1.59
1763648981,0.067701,0.136966,0.003867,0.00,1.60
1763648984,0.068360,0.140113,0.003147,0.00,1.64
1763648987,0.069110,0.142270,0.002157,0.00,1.65
1763648990,0.069845,0.143576,0.001306,0.00,1.68
1763648993,0.070206,0.145287,0.001711,0.00,1.69
1763648996,0.071960,0.140477,-0.004810,0.00,1.73
1763648999,0.073300,0.133354,-0.007123,0.00,1.77
1763649002,0.074126,0.126113,-0.007241,0.00,1.79
1763649005,0.074348,0.120911,-0.005202,0.00,1.79
1763649008,0.074785,0.116880,-0.004031,0.00,1.80
