timestamp,actual_rate,current_sample_rate,delta,encode_cost_ms,sample_cost_ms
1763644899,0.100000,0.100000,0.000000,0.00,3.00
1763644902,0.100000,0.100000,0.000000,0.00,3.00
1763644905,0.100000,0.100000,0.000000,0.00,3.00
1763644908,0.100000,0.100000,0.000000,0.00,2.67
1763644911,0.100000,0.100000,0.000000,0.00,3.00
1763644914,0.100000,0.100000,0.000000,0.00,2.80
1763644917,0.100000,0.100000,0.000000,0.00,2.67
1763644920,0.100000,0.100000,0.000000,0.00,2.67
1763644923,0.100000,0.100000,0.000000,0.00,2.43
1763644926,0.100000,0.100000,0.000000,0.00,2.43
1763644929,0.100000,0.100000,0.000000,0.00,2.38
1763644932,0.100000,0.100000,0.000000,0.00,2.56
1763644935,0.100000,0.100000,0.000000,0.00,2.56
1763644938,0.100000,0.100000,0.000000,0.00,2.73
1763644941,0.100000,0.100000,0.000000,0.00,3.00
1763644944,0.100000,0.100000,0.000000,0.00,3.00
1763644947,0.100000,0.100000,0.000000,0.00,3.07
1763644950,0.100000,0.100000,0.000000,0.00,3.13
1763644953,0.100000,0.100000,0.000000,0.00,3.00
1763644956,0.100000,0.100000,0.000000,0.00,3.06
1763644959,0.100000,0.100000,0.000000,0.00,3.05
1763644962,0.100000,0.100000,0.000000,0.00,3.10
1763644965,0.100000,0.100000,0.000000,0.00,3.10
1763644968,0.100000,0.100000,0.000000,0.00,3.18
1763644971,0.100000,0.100000,0.000000,0.00,3.13
1763644974,0.100000,0.100000,0.000000,0.00,3.13
1763644977,0.100000,0.100000,0.000000,0.00,3.08
1763644980,0.100000,0.100000,0.000000,0.00,3.12
1763644983,0.100000,0.093636,-0.006364,0.00,3.37
1763644986,0.097609,0.085197,-0.008440,0.00,3.48
1763644989,0.096200,0.077842,-0.007355,0.00,3.46
1763644992,0.094259,0.071765,-0.006077,0.00,3.48
1763644995,0.092586,0.067292,-0.004472,0.00,3.38
1763644998,0.089531,0.063876,-0.003416,0.00,3.28
1763645001,0.086250,0.060934,-0.002942,0.00,3.13
1763645004,0.084231,0.058578,-0.002355,0.00,3.06
1763645007,0.081047,0.057100,-0.001478,0.00,2.98
1763645010,0.078105,0.055705,-0.001395,0.00,2.86
1763645013,0.075673,0.054292,-0.001414,0.00,2.85
1763645016,0.073217,0.052388,-0.001904,0.00,2.89
1763645019,0.072250,0.051082,-0.001306,0.00,2.86
1763645022,0.071024,0.049922,-0.001160,0.00,2.80
1763645025,0.068345,0.048667,-0.001254,0.00,2.68
1763645028,0.066443,0.047490,-0.001177,0.00,2.63
1763645031,0.064472,0.046178,-0.001312,0.00,2.55
1763645034,0.063452,0.045193,-0.000985,0.00,2.50
1763645037,0.062644,0.044507,-0.000686,0.00,2.47
1763645040,0.062260,0.044332,-0.000175,0.00,2.45
1763645043,0.061768,0.044448,0.000116,0.00,2.42
1763645046,0.060957,0.044498,0.000051,0.00,2.39
1763645049,0.060521,0.044822,0.000324,0.00,2.36
1763645052,0.059899,0.045134,0.000312,0.00,2.34
1763645055,0.059505,0.045660,0.000526,0.00,2.35
1763645058,0.059220,0.046504,0.000844,0.00,2.38
1763645061,0.059126,0.047641,0.001136,0.00,2.37
1763645064,0.058942,0.049087,0.001447,0.00,2.37
1763645067,0.058762,0.050835,0.001748,0.00,2.38
1763645070,0.058679,0.052795,0.001960,0.00,2.38
1763645073,0.058638,0.055217,0.002422,0.00,2.38
1763645076,0.058558,0.057843,0.002625,0.00,2.37
1763645079,0.058519,0.060999,0.003156,0.00,2.38
1763645082,0.058525,0.065073,0.004074,0.00,2.39
1763645085,0.058532,0.069264,0.004191,0.00,2.40
1763645088,0.058545,0.074190,0.004926,0.00,2.44
1763645091,0.058597,0.079900,0.005709,0.00,2.46
1763645094,0.058649,0.085807,0.005908,0.00,2.46
1763645097,0.058744,0.093528,0.007721,0.00,2.45
1763645100,0.059022,0.100140,0.006612,0.00,2.57
1763645103,0.059204,0.109020,0.008880,0.00,2.58
1763645106,0.059561,0.117594,0.008574,0.00,2.59
1763645109,0.060000,0.124431,0.006836,0.00,2.62
1763645112,0.060260,0.132745,0.008315,0.00,2.64
1763645115,0.061154,0.137490,0.004745,0.00,2.67
1763645118,0.062025,0.139455,0.001964,0.00,2.68
1763645121,0.062875,0.140148,0.000693,0.00,2.71
1763645124,0.063195,0.142342,0.002194,0.00,2.71
1763645127,0.064139,0.141679,-0.000663,0.00,2.74
1763645130,0.064756,0.140677,-0.001002,0.00,2.77
1763645133,0.065363,0.138470,-0.002207,0.00,2.81
1763645136,0.065622,0.138808,0.000339,0.00,2.82
1763645139,0.065880,0.140617,0.001809,0.00,2.86
1763645142,0.066468,0.141572,0.000955,0.00,2.88
1763645145,0.067047,0.141863,0.000291,0.00,2.91
1763645148,0.067617,0.140660,-0.001203,0.00,2.92
1763645151,0.068178,0.139104,-0.001556,0.00,2.93
1763645154,0.068654,0.137495,-0.001609,0.00,2.94
1763645157,0.068889,0.138405,0.000910,0.00,2.95
1763645160,0.069354,0.137062,-0.001343,0.00,2.98
1763645163,0.070262,0.134220,-0.002842,0.00,3.01
1763645166,0.071575,0.127002,-0.007218,0.00,3.03
1763645169,0.072101,0.119695,-0.007306,0.00,3.07
1763645172,0.072509,0.112902,-0.006793,0.00,3.09
1763645175,0.072643,0.107919,-0.004983,0.00,3.09
1763645178,0.072740,0.104526,-0.003393,0.00,3.10
1763645181,0.072933,0.102287,-0.002239,0.00,3.11
1763645184,0.073123,0.100623,-0.001664,0.00,3.13
1763645187,0.073310,0.099456,-0.001167,0.00,3.15
1763645190,0.073426,0.098891,-0.000565,0.00,3.16
1763645193,0.073483,0.099044,0.000153,0.00,3.17
1763645196,0.073596,0.099601,0.000557,0.00,3.17
1763645199,0.073707,0.101195,0.001594,0.00,3.18
1763645202,0.073797,0.103972,0.002777,0.00,3.21
1763645205,0.073973,0.106016,0.002044,0.00,3.22
1763645208,0.074147,0.108960,0.002944,0.00,3.22
1763645211,0.074319,0.111200,0.002239,0.00,3.26
1763645214,0.074671,0.111422,0.000223,0.00,3.29
1763645217,0.074902,0.112565,0.001143,0.00,3.30
1763645220,0.075243,0.113312,0.000747,0.00,3.31
1763645223,0.075577,0.113085,-0.000227,0.00,3.34
1763645226,0.075796,0.112465,-0.000620,0.00,3.36
1763645229,0.076120,0.111684,-0.000781,0.00,3.37
1763645232,0.076332,0.110617,-0.001067,0.00,3.37
1763645235,0.076542,0.109858,-0.000759,0.00,3.36
1763645238,0.076759,0.109255,-0.000602,0.00,3.37
1763645241,0.076831,0.110153,0.000897,0.00,3.38
1763645244,0.077034,0.111065,0.000912,0.00,3.38
1763645247,0.077234,0.112060,0.000994,0.00,3.40
1763645250,0.077432,0.112406,0.000346,0.00,3.40
1763645253,0.077530,0.114919,0.002514,0.00,3.40
1763645256,0.077628,0.117832,0.002913,0.00,3.39
1763645259,0.077725,0.122112,0.004280,0.00,3.39
1763645262,0.077976,0.126873,0.004761,0.00,3.40
1763645265,0.078101,0.131957,0.005084,0.00,3.39
1763645268,0.078254,0.138387,0.006430,0.00,3.40
1763645271,0.078710,0.141439,0.003052,0.00,3.43
1763645274,0.078889,0.144783,0.003345,0.00,3.44
1763645277,0.079067,0.150905,0.006122,0.00,3.43
1763645280,0.079478,0.156630,0.005725,0.00,3.44
1763645283,0.079682,0.162327,0.005697,0.00,3.45
1763645286,0.080144,0.167244,0.004917,0.00,3.45
1763645289,0.080372,0.172008,0.004764,0.00,3.44
1763645292,0.080372,0.184914,0.012905,0.00,3.44
1763645295,0.080657,0.198940,0.014026,0.00,3.46
1763645298,0.081278,0.204998,0.006059,0.00,3.47
1763645301,0.081615,0.214325,0.009327,0.00,3.47
1763645304,0.081977,0.221572,0.007246,0.00,3.47
1763645307,0.082366,0.228959,0.007387,0.00,3.48
1763645310,0.082366,0.245763,0.016804,0.00,3.48
1763645313,0.082809,0.261563,0.015800,0.00,3.49
1763645316,0.082809,0.289083,0.027520,0.00,3.49
1763645319,0.083361,0.315706,0.026622,0.00,3.49
1763645322,0.083361,0.343271,0.027565,0.00,3.49
1763645325,0.084078,0.365082,0.021811,0.00,3.50
1763645328,0.084078,0.392465,0.027383,0.00,3.50
1763645331,0.084930,0.418307,0.025841,0.00,3.51
1763645334,0.084930,0.445349,0.027043,0.00,3.51
1763645337,0.085917,0.463407,0.018057,0.00,3.54
1763645340,0.086953,0.464118,0.000712,0.00,3.56
1763645343,0.086953,0.489794,0.025675,0.00,3.56
1763645346,0.088039,0.489049,-0.000745,0.00,3.56
1763645349,0.089118,0.478124,-0.010925,0.00,3.59
1763645352,0.090165,0.450928,-0.027196,0.00,3.62
1763645355,0.090165,0.443289,-0.007639,0.00,3.62
1763645358,0.091123,0.422996,-0.020293,0.00,3.64
1763645361,0.092916,0.386645,-0.036351,0.00,3.67
1763645364,0.093696,0.353180,-0.033464,0.00,3.69
1763645367,0.093696,0.327123,-0.026057,0.00,3.69
1763645370,0.094309,0.302988,-0.024135,0.00,3.70
1763645373,0.094865,0.280081,-0.022907,0.00,3.71
1763645376,0.095364,0.258731,-0.021350,0.00,3.72
1763645379,0.095780,0.239349,-0.019383,0.00,3.73
1763645382,0.096139,0.221086,-0.018262,0.00,3.75
1763645385,0.096471,0.204857,-0.016229,0.00,3.75
1763645388,0.096471,0.194233,-0.010624,0.00,3.75
1763645391,0.096720,0.183774,-0.010459,0.00,3.76
1763645394,0.096941,0.175955,-0.007819,0.00,3.77
1763645397,0.097328,0.167326,-0.008629,0.00,3.78
1763645400,0.097658,0.157938,-0.009388,0.00,3.79
1763645403,0.097795,0.149941,-0.007997,0.00,3.79
1763645406,0.097906,0.143861,-0.006079,0.00,3.79
1763645409,0.098016,0.139509,-0.004353,0.00,3.79
1763645412,0.098099,0.137994,-0.001515,0.00,3.80
1763645415,0.098182,0.138210,0.000216,0.00,3.79
1763645418,0.098346,0.135820,-0.002389,0.00,3.80
1763645421,0.098428,0.135533,-0.000288,0.00,3.80
1763645424,0.098509,0.136997,0.001464,0.00,3.79
1763645427,0.098590,0.140273,0.003276,0.00,3.79
1763645430,0.098696,0.145124,0.004851,0.00,3.79
1763645433,0.098801,0.153886,0.008762,0.00,3.79
1763645436,0.098931,0.164467,0.010581,0.00,3.80
1763645439,0.099086,0.173848,0.009381,0.00,3.80
1763645442,0.099266,0.182588,0.008740,0.00,3.81
1763645445,0.099470,0.189049,0.006460,0.00,3.82
1763645448,0.099673,0.191968,0.002920,0.00,3.83
1763645451,0.099673,0.195948,0.003980,0.00,3.83
1763645454,0.099899,0.196440,0.000492,0.00,3.84
1763645457,0.100350,0.189319,-0.007121,0.00,3.84
1763645460,0.100350,0.184319,-0.005000,0.00,3.84
1763645463,0.100549,0.176623,-0.007695,0.00,3.85
1763645466,0.100721,0.164092,-0.012531,0.00,3.85
1763645469,0.100721,0.152938,-0.011154,0.00,3.85
1763645472,0.100844,0.141202,-0.011737,0.00,3.86
1763645475,0.100844,0.129611,-0.011591,0.00,3.86
1763645478,0.100891,0.118781,-0.010830,0.00,3.86
1763645481,0.100914,0.103720,-0.015061,0.00,3.86
1763645484,0.100911,0.091774,-0.011946,0.00,3.86
1763645487,0.100885,0.081386,-0.010388,0.00,3.86
1763645490,0.100833,0.068232,-0.013154,0.00,3.87
1763645493,0.100733,0.059243,-0.008989,0.00,3.86
1763645496,0.100610,0.049382,-0.009861,0.00,3.86
1763645499,0.100462,0.043834,-0.005548,0.00,3.85
1763645502,0.100462,0.037206,-0.006628,0.00,3.85
1763645505,0.100291,0.034415,-0.002791,0.00,3.85
1763645508,0.100121,0.033284,-0.001131,0.00,3.84
1763645511,0.100121,0.031499,-0.001786,0.00,3.84
1763645514,0.099952,0.032945,0.001446,0.00,3.84
1763645517,0.099615,0.039469,0.006524,0.00,3.82
1763645520,0.099448,0.048122,0.008653,0.00,3.82
1763645523,0.099306,0.057255,0.009133,0.00,3.81
1763645526,0.099189,0.068794,0.011539,0.00,3.81
1763645529,0.099095,0.081880,0.013086,0.00,3.81
1763645532,0.099050,0.095682,0.013802,0.00,3.81
1763645535,0.099028,0.107753,0.012071,0.00,3.81
1763645538,0.099033,0.119381,0.011628,0.00,3.82
1763645541,0.099059,0.131438,0.012058,0.00,3.81
1763645544,0.099131,0.142855,0.011417,0.00,3.82
1763645547,0.099227,0.153349,0.010494,0.00,3.83
1763645550,0.099227,0.164110,0.010761,0.00,3.83
1763645553,0.099369,0.172936,0.008827,0.00,3.83
1763645556,0.099534,0.178080,0.005144,0.00,3.84
1763645559,0.099698,0.181861,0.003781,0.00,3.84
1763645562,0.099884,0.182421,0.000560,0.00,3.85
1763645565,0.100438,0.169262,-0.013159,0.00,3.87
1763645568,0.100438,0.163562,-0.005700,0.00,3.87
1763645571,0.100438,0.157862,-0.005700,0.00,3.87
1763645574,0.100438,0.152162,-0.005700,0.00,3.87
1763645577,0.100438,0.146462,-0.005700,0.00,3.87
1763645580,0.100438,0.140762,-0.005700,0.00,3.87
1763645583,0.100438,0.135062,-0.005700,0.00,3.87
1763645586,0.100438,0.129362,-0.005700,0.00,3.87
1763645589,0.100438,0.123662,-0.005700,0.00,3.87
1763645592,0.100438,0.117962,-0.005700,0.00,3.87
1763645595,0.100438,0.112262,-0.005700,0.00,3.87
1763645598,0.100438,0.106562,-0.005700,0.00,3.87
1763645601,0.100438,0.100862,-0.005700,0.00,3.87
1763645604,0.100438,0.095162,-0.005700,0.00,3.87
1763645607,0.100438,0.089462,-0.005700,0.00,3.87
1763645610,0.100438,0.083762,-0.005700,0.00,3.87
1763645613,0.100438,0.078062,-0.005700,0.00,3.87
1763645616,0.100438,0.072362,-0.005700,0.00,3.87
1763645619,0.100438,0.066662,-0.005700,0.00,3.87
1763645622,0.100438,0.060962,-0.005700,0.00,3.87
1763645625,0.100438,0.055262,-0.005700,0.00,3.87
1763645628,0.100438,0.049562,-0.005700,0.00,3.87
1763645631,0.100438,0.043862,-0.005700,0.00,3.87
1763645634,0.100438,0.038162,-0.005700,0.00,3.87
1763645637,0.100438,0.032462,-0.005700,0.00,3.87
1763645640,0.100438,0.026762,-0.005700,0.00,3.87
1763645643,0.100438,0.021062,-0.005700,0.00,3.87
1763645646,0.100438,0.015362,-0.005700,0.00,3.87
1763645649,0.100438,0.009662,-0.005700,0.00,3.87
1763645652,0.100438,0.003962,-0.005700,0.00,3.87
1763645655,0.100438,0.000000,-0.005700,0.00,3.87
1763645658,0.100438,0.000000,-0.005700,0.00,3.87
1763645661,0.100438,0.000000,-0.005700,0.00,3.87
1763645664,0.100438,0.000000,-0.005700,0.00,3.87
1763645667,0.100438,0.000000,-0.005700,0.00,3.87
1763645670,0.100438,0.000000,-0.005700,0.00,3.87
1763645673,0.100438,0.000000,-0.005700,0.00,3.87
1763645676,0.100438,0.000000,-0.005700,0.00,3.87
1763645679,0.100438,0.000000,-0.005700,0.00,3.87
