timestamp,actual_rate,current_sample_rate,delta,encode_cost_ms,sample_cost_ms
1763724840,0.100000,0.100000,0.000000,0.01,5.00
1763724843,0.100000,0.100000,0.000000,0.01,5.00
1763724846,0.100000,0.100000,0.000000,0.01,5.00
1763724849,0.100000,0.100000,0.000000,0.01,7.50
1763724852,0.100000,0.100000,0.000000,0.01,7.50
1763724855,0.100000,0.100000,0.000000,0.01,7.00
1763724858,0.100000,0.100000,0.000000,0.01,7.00
1763724861,0.100000,0.100000,0.000000,0.01,7.25
1763724864,0.100000,0.100000,0.000000,0.01,7.60
1763724867,0.100000,0.100000,0.000000,0.02,7.60
1763724870,0.100000,0.100000,0.000000,0.02,7.60
1763724873,0.100000,0.100000,0.000000,0.02,7.33
1763724876,0.100000,0.093953,-0.006047,0.03,8.10
1763724879,0.097692,0.087206,-0.006748,0.03,8.00
1763724882,0.096000,0.081084,-0.006122,0.03,7.53
1763724885,0.093333,0.075763,-0.005321,0.03,7.22
1763724888,0.090000,0.069974,-0.005789,0.04,7.00
1763724891,0.085370,0.065269,-0.004705,0.04,6.74
1763724894,0.082742,0.060963,-0.004306,0.04,6.35
1763724897,0.080417,0.056519,-0.004444,0.04,5.83
1763724900,0.078000,0.052882,-0.003637,0.05,5.65
1763724903,0.077159,0.049369,-0.003514,0.05,5.61
1763724906,0.075319,0.046845,-0.002524,0.05,5.36
1763724909,0.075000,0.045257,-0.001588,0.05,5.29
1763724912,0.073529,0.044100,-0.001157,0.05,5.20
1763724915,0.073173,0.043719,-0.000381,0.05,5.12
1763724918,0.072925,0.043907,0.000188,0.05,5.04
1763724921,0.072925,0.045059,0.001152,0.05,5.04
1763724924,0.072685,0.046533,0.001474,0.05,5.00
1763724927,0.072364,0.048401,0.001868,0.05,4.95
1763724930,0.072364,0.051219,0.002818,0.05,4.95
1763724933,0.071964,0.054305,0.003086,0.05,4.91
1763724936,0.071754,0.057562,0.003257,0.05,4.86
1763724939,0.071466,0.061572,0.004010,0.06,4.79
1763724942,0.071271,0.065388,0.003816,0.06,4.83
1763724945,0.071167,0.069442,0.004054,0.06,4.78
1763724948,0.071066,0.073802,0.004360,0.06,4.79
1763724951,0.071048,0.078410,0.004608,0.06,4.76
1763724954,0.071111,0.083909,0.005499,0.06,4.78
1763724957,0.071250,0.088824,0.004914,0.06,4.77
1763724960,0.071462,0.094710,0.005887,0.06,4.77
1763724963,0.071742,0.099744,0.005033,0.06,4.76
1763724966,0.072090,0.105734,0.005991,0.06,4.81
1763724969,0.073043,0.108306,0.002572,0.06,4.87
1763724972,0.073500,0.111156,0.002850,0.06,4.87
1763724975,0.074014,0.113043,0.001887,0.06,4.92
1763724978,0.074514,0.115845,0.002802,0.06,4.99
1763724981,0.075068,0.117542,0.001696,0.06,5.00
1763724984,0.075608,0.120056,0.002514,0.06,5.07
1763724987,0.075608,0.126417,0.006361,0.06,5.07
1763724990,0.076267,0.130403,0.003986,0.06,5.13
1763724993,0.077662,0.129456,-0.000947,0.07,5.38
1763724996,0.078269,0.128709,-0.000747,0.07,5.41
1763724999,0.078861,0.127886,-0.000823,0.07,5.51
1763725002,0.079437,0.126995,-0.000891,0.07,5.54
1763725005,0.080549,0.123024,-0.003972,0.07,5.60
1763725008,0.080549,0.123497,0.000473,0.07,5.60
1763725011,0.081024,0.122822,-0.000675,0.07,5.64
1763725014,0.081488,0.122177,-0.000645,0.07,5.69
1763725017,0.081488,0.125170,0.002992,0.07,5.69
1763725020,0.082000,0.127312,0.002142,0.07,5.72
1763725023,0.082500,0.128957,0.001645,0.07,5.78
1763725026,0.082989,0.131232,0.002275,0.07,5.85
1763725029,0.082989,0.138040,0.006809,0.07,5.85
1763725032,0.083580,0.141764,0.003724,0.07,5.94
1763725035,0.083580,0.150793,0.009029,0.07,5.94
1763725038,0.084326,0.156843,0.006050,0.07,6.01
1763725041,0.084326,0.172095,0.015252,0.07,6.01
1763725044,0.085278,0.182036,0.009941,0.07,6.09
1763725047,0.085278,0.201645,0.019609,0.07,6.09
